,X,Y,H,Vx,Vy,Vh
301,683896.8983,5092471.184,25.85664185,0.61143226,0.58610522,0.608079082
302,683897.0712,5092471.105,25.91492323,0.610118177,0.586710646,0.608075278
303,683897.0331,5092471.08,26.07267263,0.608460624,0.586561863,0.608321877
304,683897.0078,5092471.06,26.08988866,0.606985563,0.58657332,0.608349188
305,683896.9862,5092471.005,25.98362859,0.605760509,0.58632972,0.608111902
306,683896.9901,5092471.02,25.83886623,0.604068023,0.586055613,0.608336308
307,683896.97,5092471.033,26.02968316,0.602082936,0.58601736,0.608354953
308,683896.9207,5092471.097,26.05999786,0.600052248,0.586002292,0.60811423
309,683896.8206,5092471.038,26.10997501,0.59775538,0.585499932,0.608089214
310,683896.8135,5092471.073,26.07071244,0.595175444,0.585193687,0.608079267
311,683896.7091,5092471.13,25.89885012,0.592057382,0.585142734,0.608075282
312,683896.7337,5092471.154,25.84473281,0.589363149,0.584874395,0.607825654
313,683896.7783,5092471.222,25.75074325,0.586696021,0.584590425,0.608045171
314,683896.734,5092471.215,25.71103535,0.585031851,0.584300044,0.607813719
315,683896.7662,5092471.17,25.70196705,0.584724173,0.584255245,0.607792385
316,683896.7853,5092471.155,25.64495078,0.58559446,0.584733683,0.60803199
317,683896.9108,5092471.198,25.55070617,0.587642527,0.58503072,0.608056554
318,683896.8791,5092471.28,25.51331274,0.59136413,0.585078156,0.608066311
319,683896.9982,5092471.231,25.40793866,0.595823153,0.585344802,0.608070162
320,683896.9525,5092471.379,25.7499443,0.600185389,0.585132386,0.608071819
321,683896.8563,5092471.341,25.95675855,0.604083614,0.584870182,0.608072446
322,683896.8858,5092471.334,26.18197789,0.60744272,0.584588604,0.6080727
323,683896.822,5092471.367,26.10532688,0.610480656,0.583555152,0.608072713
324,683896.768,5092471.404,26.09878412,0.61246944,0.582682874,0.608072731
325,683896.6856,5092471.296,26.08070598,0.614323907,0.581803777,0.608072735
326,683896.6609,5092471.239,25.93703734,0.616373261,0.581170408,0.608072699
327,683896.7445,5092471.042,25.9715115,0.617437199,0.580811777,0.608072734
328,683896.9092,5092470.962,25.96156057,0.618144028,0.581484435,0.608072738
329,683897.0039,5092470.882,26.01290972,0.618531472,0.582036024,0.608072757
330,683896.9761,5092470.863,26.07408327,0.618614565,0.582362076,0.608072769
331,683896.9465,5092470.883,25.94612093,0.618647506,0.583165252,0.608072719
332,683896.9127,5092470.912,26.03384885,0.618660564,0.584016692,0.608320836
333,683896.9566,5092470.971,25.98480976,0.61866581,0.584887309,0.608100674
334,683896.9434,5092471.08,25.90442326,0.618915923,0.585517493,0.608083797
335,683896.9836,5092471.196,25.79886039,0.618200479,0.586866925,0.608077095
336,683896.9737,5092471.316,25.47094317,0.616639582,0.58779409,0.608322449
337,683896.9246,5092471.264,25.51520786,0.613962429,0.588942423,0.607853253
338,683896.8581,5092471.324,25.6122065,0.610628243,0.59010854,0.607808094
339,683896.8667,5092471.271,25.48863377,0.607670622,0.591033233,0.608038202
340,683896.9087,5092471.103,25.48047029,0.604721418,0.591932601,0.607810964
341,683896.8339,5092470.904,25.77935524,0.603015805,0.592574004,0.607791384
342,683896.7285,5092470.773,26.07295958,0.60219544,0.593183749,0.607783625
343,683896.6961,5092470.708,26.11576771,0.601762979,0.593284805,0.607780476
344,683896.7582,5092470.637,26.24689345,0.601413932,0.593572955,0.607779248
345,683896.8437,5092470.793,26.27847297,0.602090215,0.593121069,0.607778732
346,683896.8982,5092470.954,26.2458809,0.603883596,0.592338569,0.607778507
347,683896.9069,5092470.986,26.09850346,0.605838189,0.591743192,0.607778381
348,683896.9072,5092470.992,25.84594379,0.607112514,0.591647904,0.608026375
349,683896.9683,5092470.953,25.82450734,0.607584227,0.591361945,0.608054342
350,683896.9967,5092470.88,25.78696277,0.607452748,0.591318908,0.608065433
351,683896.9333,5092470.818,25.65800523,0.605982506,0.590805701,0.608069806
352,683896.9419,5092470.838,25.6397132,0.604581785,0.590991302,0.60807157
