X,Y,Z,Latitude,Longitude,Altitude (m)
683880.988810421,5092463.57764161,-20.2,45.96109904,-66.62690867,-20.2
683880.987803883,5092463.58539574,-20.204,45.96109911,-66.62690868,-20.204
683880.98996292,5092463.59102014,-20.21,45.96109916,-66.62690865,-20.21
683880.99050607,5092463.59882044,-20.216,45.96109923,-66.62690864,-20.216
683880.992632008,5092463.60555587,-20.221,45.96109929,-66.62690861,-20.221
683880.997181775,5092463.60902746,-20.226,45.96109932,-66.62690855,-20.226
683881.000214951,5092463.61134186,-20.228,45.96109934,-66.62690851,-20.228
683881.002440187,5092463.6147442,-20.23,45.96109937,-66.62690848,-20.23
683881.003758181,5092463.62256758,-20.233,45.96109944,-66.62690846,-20.233
683881.002718544,5092463.63143273,-20.235,45.96109952,-66.62690847,-20.235
683881.001712006,5092463.63918686,-20.237,45.96109959,-66.62690848,-20.237
683880.998347837,5092463.64798276,-20.24,45.96109967,-66.62690852,-20.24
683880.996500256,5092463.65793587,-20.244,45.96109976,-66.62690854,-20.244
683880.992295046,5092463.66893075,-20.249,45.96109986,-66.62690859,-20.249
683880.98731499,5092463.67990255,-20.254,45.96109996,-66.62690865,-20.254
683880.98401702,5092463.6864764,-20.259,45.96110002,-66.62690869,-20.259
683880.980785247,5092463.69082818,-20.265,45.96110006,-66.62690873,-20.265
683880.97916936,5092463.69300407,-20.267,45.96110008,-66.62690875,-20.267
683880.977553474,5092463.69517997,-20.273,45.9611001,-66.62690877,-20.273
683880.976003786,5092463.6951338,-20.277,45.9611001,-66.62690879,-20.277
683880.97287131,5092463.6961525,-20.282,45.96110011,-66.62690883,-20.282
683880.970579877,5092463.69497222,-20.286,45.9611001,-66.62690886,-20.286
683880.969871232,5092463.69272707,-20.291,45.96110008,-66.62690887,-20.291
683880.969294982,5092463.68603781,-20.293,45.96110002,-66.62690888,-20.293
683880.971010166,5092463.68052882,-20.295,45.96109997,-66.62690886,-20.295
683880.971983604,5092463.67388573,-20.297,45.96109991,-66.62690885,-20.297
683880.973698788,5092463.66837674,-20.301,45.96109986,-66.62690883,-20.301
683880.976188816,5092463.66289084,-20.304,45.96109981,-66.6269088,-20.304
683880.977837802,5092463.65960392,-20.307,45.96109978,-66.62690878,-20.307
683880.977029858,5092463.66069187,-20.311,45.96109979,-66.62690879,-20.311
683880.975513269,5092463.65953467,-20.313,45.96109978,-66.62690881,-20.313
683880.97548017,5092463.6606457,-20.316,45.96109979,-66.62690881,-20.316
683880.974639128,5092463.66284468,-20.32,45.96109981,-66.62690882,-20.32
683880.976897462,5092463.66513599,-20.325,45.96109983,-66.62690879,-20.325
683880.979255093,5092463.66409421,-20.329,45.96109982,-66.62690876,-20.329
683880.983970356,5092463.66201065,-20.332,45.9610998,-66.6269087,-20.332
683880.990334604,5092463.65664017,-20.336,45.96109975,-66.62690862,-20.336
683880.998990284,5092463.65244997,-20.34,45.96109971,-66.62690851,-20.34
683881.006871122,5092463.64823669,-20.344,45.96109967,-66.62690841,-20.344
683881.013169171,5092463.64508826,-20.346,45.96109964,-66.62690833,-20.346
683881.016301647,5092463.64406957,-20.348,45.96109963,-66.62690829,-20.348
683881.019367924,5092463.64527293,-20.349,45.96109964,-66.62690825,-20.349
683881.022401102,5092463.64758733,-20.352,45.96109966,-66.62690821,-20.352
683881.022268706,5092463.65203145,-20.356,45.9610997,-66.62690821,-20.356
683881.020553522,5092463.65754043,-20.36,45.96109975,-66.62690823,-20.36
683881.017321749,5092463.66189222,-20.364,45.96109979,-66.62690827,-20.364
683881.013990679,5092463.66957709,-20.368,45.96109986,-66.62690831,-20.368
