,X,Y,H
426,683877.0473888941,5092468.225833322,-13.282277777000012
427,683877.0162777831,5092468.227222211,-13.273388888000012
428,683876.985166672,5092468.229166655,-13.264499999000012
429,683876.954888894,5092468.230555544,-13.255333332000012
430,683876.925722227,5092468.231666654,-13.245888888000012
431,683876.897944449,5092468.232777765,-13.236166666000011
432,683876.87155556,5092468.234999987,-13.226166666000012
433,683876.84655556,5092468.239999987,-13.215888888000011
434,683876.822666671,5092468.2474999875,-13.20561111000001
435,683876.801000004,5092468.257222209,-13.19505555400001
436,683876.781000004,5092468.269166653,-13.18422222100001
437,683876.762388893,5092468.2822222095,-13.17366666500001
438,683876.746000004,5092468.29472221,-13.162833332000009
439,683876.731000004,5092468.30722221,-13.151722221000009
440,683876.717111115,5092468.318611098,-13.140611110000009
441,683876.704611115,5092468.32972221,-13.129499999000009
442,683876.694055559,5092468.33972221,-13.11811111000001
443,683876.684611115,5092468.347499988,-13.10672222100001
444,683876.676000004,5092468.352777766,-13.09505555400001
445,683876.6676666711,5092468.356388877,-13.083111110000011
446,683876.6593333381,5092468.35722221,-13.071166666000012
447,683876.6515555602,5092468.356388877,-13.058944444000012
448,683876.6440555602,5092468.3552777665,-13.046722222000012
449,683876.6365555603,5092468.355555545,-13.034500000000012
450,683876.6282222273,5092468.355833323,-13.022277778000012
451,683876.6185000053,5092468.357777767,-13.010333334000013
452,683876.6065555613,5092468.361666656,-12.998388890000014
453,683876.5923888943,5092468.367222212,-12.986166668000013
454,683876.5762777833,5092468.373611101,-12.974500001000013
455,683876.5596111163,5092468.380277768,-12.962555557000014
456,683876.5432222273,5092468.38749999,-12.950333335000014
457,683876.5271111162,5092468.394722212,-12.938111113000014
458,683876.5110000052,5092468.402777768,-12.925611113000015
459,683876.4951666722,5092468.411388879,-12.913388891000015
460,683876.4790555611,5092468.4213888785,-12.900888891000015
461,683876.4629444501,5092468.430277768,-12.888666669000015
462,683876.446833339,5092468.438055546,-12.876166669000016
463,683876.430722228,5092468.445277768,-12.863666669000017
464,683876.414611117,5092468.451944435,-12.850888891000016
465,683876.3982222279,5092468.458888879,-12.838111113000016
466,683876.3810000059,5092468.466111101,-12.825333335000016
467,683876.3632222279,5092468.473333323,-12.812277779000016
468,683876.3448888949,5092468.480277767,-12.799500001000016
469,683876.3257222279,5092468.488055546,-12.786444445000017
470,683876.3051666719,5092468.498055546,-12.773388889000017
471,683876.2832222278,5092468.510277768,-12.760333333000018
472,683876.2596111168,5092468.523333324,-12.747277777000019
473,683876.2357222278,5092468.536666657,-12.734222221000019
474,683876.2118333388,5092468.548611101,-12.720888888000019
475,683876.1882222279,5092468.559444434,-12.707555555000019
476,683876.1651666719,5092468.569722212,-12.693944444000019
477,683876.1435000049,5092468.579722212,-12.68033333300002
478,683876.1232222269,5092468.590277768,-12.66672222200002
479,683876.1048888939,5092468.601111101,-12.65283333300002
480,683876.088222227,5092468.61249999,-12.63894444400002
481,683876.0721111159,5092468.624722212,-12.625055555000019
482,683876.0560000049,5092468.638611101,-12.611166666000019
